,Closest City name,Closest Country code,Latitude,Longitude,Temperature,Wind speed,Humidity,Cloudiness
0,santa cruz,cr,10.26,-85.58,34.0,12.3,34.0,0.0
2,baena,es,37.62,-4.32,11.0,0.5,93.0,0.0
3,hasaki,jp,35.73,140.83,11.0,1.0,93.0,40.0
4,mpraeso,gh,6.6,-0.73,26.22,2.12,81.0,48.0
5,moissac,fr,44.11,1.08,12.0,4.6,93.0,90.0
6,sabang,id,1.17,120.82,27.55,5.47,100.0,44.0
7,taiyuan,cn,37.86,112.56,9.0,1.0,45.0,0.0
8,hermanus,za,-34.42,19.24,12.8,1.72,83.0,32.0
9,castro,cl,-42.48,-73.76,13.95,2.87,98.0,92.0
10,halifax,ca,44.65,-63.58,9.0,4.6,28.0,90.0
11,nha trang,vn,12.24,109.19,21.97,3.72,100.0,68.0
13,palmer,us,61.6,-149.11,1.0,3.6,87.0,90.0
14,manakara,mg,-22.14,48.01,22.0,2.32,100.0,88.0
15,saint george,bm,32.38,-64.68,16.0,9.3,55.0,40.0
16,san lucas,hn,13.73,-86.95,27.0,6.2,36.0,40.0
17,itarema,br,-2.92,-39.92,26.72,3.67,90.0,56.0
18,tete,mz,-16.16,33.59,26.27,5.37,73.0,88.0
19,caucaia,br,-3.73,-38.66,28.0,2.6,83.0,75.0
20,guatire,ve,10.47,-66.54,26.0,1.5,94.0,90.0
21,san ramon de la nueva oran,ar,-23.13,-64.33,21.65,1.47,69.0,92.0
22,baruun-urt,mn,46.68,113.28,-5.88,2.57,48.0,0.0
23,carnarvon,au,-24.87,113.63,25.37,10.37,96.0,0.0
24,hithadhoo,mv,-0.6,73.08,29.05,3.32,100.0,76.0
25,amalapuram,in,16.58,82.0,25.7,3.67,92.0,32.0
26,vestmanna,fo,62.16,-7.17,5.0,18.0,80.0,64.0
27,linhares,br,-19.38,-40.06,26.55,3.87,68.0,80.0
28,udachnyy,ru,66.42,112.4,-18.66,1.57,77.0,0.0
29,karratha,au,-20.74,116.85,25.62,1.92,91.0,0.0
30,tarakan,id,3.3,117.63,23.5,1.92,100.0,92.0
31,christchurch,nz,-43.53,172.64,20.0,1.0,52.0,0.0
32,grand-lahou,ci,5.24,-5.0,27.1,2.77,78.0,44.0
33,saint-pierre,pm,46.77,-56.17,2.0,6.7,43.0,0.0
34,zhigansk,ru,66.77,123.37,-21.38,1.87,59.0,12.0
35,pangai,to,-19.8,-174.35,28.0,4.1,78.0,20.0
36,mareeba,au,-16.99,145.42,25.0,1.0,100.0,75.0
37,murgab,tm,37.5,61.97,16.0,4.1,67.0,5.0
38,kumluca,tr,36.37,30.29,3.37,0.62,75.0,0.0
39,kennett,us,36.24,-90.06,24.0,7.7,53.0,20.0
40,puerto ayacucho,ve,5.66,-67.62,36.0,4.1,37.0,75.0
41,apitong,ph,11.22,124.99,24.87,6.32,100.0,100.0
42,upernavik,gl,72.79,-56.15,-20.41,2.87,94.0,20.0
43,ribeira grande,pt,38.52,-28.7,16.62,7.07,100.0,88.0
44,kuryk,kz,43.18,51.68,7.12,3.12,92.0,44.0
45,brae,gb,60.4,-1.35,4.0,13.9,86.0,92.0
